,Unnamed: 0,sensor_id,location,lat,lon,timestamp,pressure,temperature,humidity
123,342,3474,1751,42.68,23.293000000000003,2017-07-01T00:08:18,94617.83,26.67,49.5
124,346,2232,1122,42.685,23.301,2017-07-01T00:08:28,94665.72,25.48,51.83
125,347,2607,1313,42.66,23.319000000000003,2017-07-01T00:08:29,94434.83,24.34,55.36
126,350,3738,1884,42.7,23.332,2017-07-01T00:08:36,95214.27,27.86,41.79
127,352,3102,1561,42.665,23.392,2017-07-01T00:08:41,95031.66,25.86,43.61
128,353,2224,1118,42.651,23.335,2017-07-01T00:08:42,94443.17,24.97,49.14
129,354,2040,1025,42.68600000000001,23.351,2017-07-01T00:08:42,94946.09,25.41,46.44
130,359,2216,1114,42.664,23.373,2017-07-01T00:08:49,94786.89,26.32,44.22
131,363,3432,1729,42.71,23.419,2017-07-01T00:08:52,95331.88,24.58,53.35
132,364,2294,1155,42.645,23.265,2017-07-01T00:08:54,92625.33,24.13,44.09
133,366,2230,1121,42.692,23.332,2017-07-01T00:08:55,95060.9,27.72,45.73
134,370,2264,1139,42.67100000000001,23.31,2017-07-01T00:09:01,94745.34,24.88,58.74
135,371,1850,925,42.677,23.311,2017-07-01T00:09:02,94827.0,24.47,58.73
136,373,2234,1123,42.685,23.356,2017-07-01T00:09:07,94903.47,27.6,40.24
137,376,3620,1824,42.678,23.254,2017-07-01T00:09:09,94446.54,25.33,58.18
138,380,3558,1793,42.67100000000001,23.364,2017-07-01T00:09:16,94809.11,26.82,41.08
139,382,2262,1138,42.691,23.324,2017-07-01T00:09:24,94852.94,26.08,45.59
140,385,1764,879,42.622,23.366,2017-07-01T00:09:28,93928.42,24.35,52.4
141,391,2038,1024,42.694,23.32,2017-07-01T00:09:43,95022.05,29.08,39.29
142,392,3836,1933,42.702,23.371,2017-07-01T00:09:43,95313.67,23.66,55.54
143,395,2323,1172,42.68600000000001,23.4,2017-07-01T00:09:44,95165.06,24.19,51.94
144,400,2266,1140,42.738,23.272,2017-07-01T00:09:53,95267.84,23.25,63.37
145,404,2292,1154,42.663,23.273000000000003,2017-07-01T00:09:54,94347.91,23.13,59.39
146,406,1952,976,42.709,23.398000000000003,2017-07-01T00:09:56,95320.39,22.58,56.17
147,408,3428,1727,42.624,23.406,2017-07-01T00:09:58,94686.53,28.32,41.26
148,411,1846,923,42.64,23.31,2017-07-01T00:10:01,93618.14,23.72,51.15
149,412,3096,1558,42.7,23.36,2017-07-01T00:10:01,95151.71,26.45,44.64
150,416,3472,1750,42.669,23.318,2017-07-01T00:10:08,94321.3,26.28,47.28
151,417,3512,1770,42.683,23.335,2017-07-01T00:10:09,94958.8,24.7,55.89
152,422,2228,1120,42.693000000000005,23.333,2017-07-01T00:10:15,94974.7,26.13,46.11
153,430,3438,1732,42.738,23.293000000000003,2017-07-01T00:10:23,95099.05,24.45,58.35
154,431,1954,977,42.70399999999999,23.354,2017-07-01T00:10:25,95070.03,26.13,44.92
155,433,3092,1556,42.666,23.284,2017-07-01T00:10:31,94536.31,24.32,0.0
156,437,3436,1731,42.693000000000005,23.359,2017-07-01T00:10:37,94941.98,26.71,45.0
157,441,1962,981,42.69,23.324,2017-07-01T00:10:43,94931.13,25.92,46.49
158,442,2036,1023,42.657,23.349,2017-07-01T00:10:44,94492.33,23.6,53.46
159,443,3474,1751,42.68,23.293000000000003,2017-07-01T00:10:44,94623.47,26.56,49.67
160,445,2232,1122,42.685,23.301,2017-07-01T00:10:54,94675.3,25.38,52.12
161,447,2607,1313,42.66,23.319000000000003,2017-07-01T00:10:55,94431.57,24.53,55.11
162,450,3738,1884,42.7,23.332,2017-07-01T00:11:03,95211.46,27.65,42.04
163,452,3102,1561,42.665,23.392,2017-07-01T00:11:07,95039.93,25.82,43.76
164,453,2040,1025,42.68600000000001,23.351,2017-07-01T00:11:09,94942.76,25.44,46.44
165,454,2224,1118,42.651,23.335,2017-07-01T00:11:10,94438.5,24.8,50.22
166,459,2216,1114,42.664,23.373,2017-07-01T00:11:15,94782.59,26.38,45.08
